p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.67129231117168e-275,0.344163643867675,0.538,0.324,2.9013876933515e-271,0,POU3F3
3.95560796497265e-273,0.874870967096455,0.571,0.344,1.18668238949179e-269,0,CCNG2
2.36784973452315e-269,1.29801204177656,0.428,0.222,7.10354920356945e-266,0,RNF128
2.35221757542303e-258,1.45278814055914,0.447,0.262,7.05665272626909e-255,0,INSIG1
1.51234830039489e-254,1.60435636609655,0.426,0.205,4.53704490118466e-251,0,ENPP2
3.69913432353786e-254,0.889889990012614,0.399,0.224,1.10974029706136e-250,0,KCNA2
1.87400502539709e-252,0.761180566264674,0.659,0.473,5.62201507619126e-249,0,CHD3
7.6835009992269e-246,0.702700734316583,0.399,0.208,2.30505029976807e-242,0,RASL11B
1.56932640087192e-241,2.95906310217842,0.449,0.24,4.70797920261576e-238,0,SLC4A4
3.44843757257569e-241,0.772311462568235,0.647,0.463,1.03453127177271e-237,0,BCL11A
6.0430068491887e-241,2.02501975599201,0.535,0.336,1.81290205475661e-237,0,CUX1
3.66626374068909e-239,2.2981490746956,0.369,0.181,1.09987912220673e-235,0,PTPN14
2.07524491752174e-238,0.374822942631216,0.374,0.21,6.22573475256523e-235,0,WDR93
5.02175424143303e-236,0.72907027973659,0.519,0.335,1.50652627242991e-232,0,SCN3A
5.30527006976344e-235,0.531156381959974,0.643,0.452,1.59158102092903e-231,0,RAB3C
2.09837719683736e-225,0.687294070126633,0.754,0.547,6.29513159051209e-222,0,PPP2R2B
5.41966339293054e-223,3.62681013779702,0.441,0.255,1.62589901787916e-219,0,PPP1R14C
3.26128748238967e-221,0.380323759851876,0.728,0.537,9.783862447169e-218,0,ELAVL3
3.93763553374518e-217,2.03278610348687,0.433,0.217,1.18129066012355e-213,0,RAI2
9.22021377885745e-217,7.04534579358995,0.451,0.158,2.76606413365724e-213,0,ADAMTS2
1.86919708021384e-216,1.14714093571754,0.339,0.184,5.60759124064151e-213,0,TMEM117
9.36374930851726e-210,1.82471361897207,0.286,0.204,2.80912479255518e-206,0,NT5E
8.18544411913441e-209,1.03718130299079,0.388,0.197,2.45563323574032e-205,0,GPC5
7.92798864258652e-206,4.49061523165507,0.567,0.343,2.37839659277596e-202,0,MYCL
2.79872773056217e-203,2.34575757389615,0.612,0.439,8.39618319168652e-200,0,ZBTB18
1.36705754509121e-197,1.01949851414424,0.577,0.41,4.10117263527364e-194,0,CELF3
1.46022781677392e-191,1.4944407694659,0.39,0.24,4.38068345032177e-188,0,CARMIL3
1.43103869054499e-190,8.63772098430923,0.502,0.295,4.29311607163498e-187,0,HIVEP3
4.79282587994788e-184,0.848437213838759,0.393,0.189,1.43784776398436e-180,0,DOK7
1.59122970482785e-183,0.417141960042945,0.488,0.341,4.77368911448356e-180,0,MEIS2
2.80706048694655e-174,1.44419469198145,0.551,0.403,8.42118146083964e-171,0,PPM1E
1.89995218617841e-172,1.55370047472757,0.481,0.305,5.69985655853523e-169,0,IL1RAPL1
2.05082437016054e-169,1.05315829859985,0.437,0.28,6.15247311048162e-166,0,RBM24
1.38981630940576e-168,6.44648504627922,0.374,0.199,4.16944892821727e-165,0,ARG2
2.15598162612275e-165,0.335831188132147,0.398,0.166,6.46794487836824e-162,0,GRID2IP
1.9302865909445e-164,2.06819499023814,0.393,0.202,5.7908597728335e-161,0,FGF11
4.68545714470754e-164,0.329665240048707,0.502,0.347,1.40563714341226e-160,0,TRIM2
5.19389354633257e-161,0.59584819896352,0.541,0.376,1.55816806389977e-157,0,LIMCH1
6.34904614521685e-158,0.586540353576674,0.453,0.305,1.90471384356505e-154,0,AFAP1
4.25230874800659e-157,1.09095465774679,0.54,0.384,1.27569262440198e-153,0,CHL1
3.58950567577886e-155,0.734384003212519,0.573,0.4,1.07685170273366e-151,0,PLXNA2
4.27792256187468e-155,0.962365878939631,0.468,0.323,1.2833767685624e-151,0,RASGEF1B
5.16119940225244e-155,3.38916271513012,0.463,0.257,1.54835982067573e-151,0,GABRA2
1.70192178378207e-152,0.328769756262432,0.595,0.431,5.10576535134621e-149,0,FMNL2
7.77305109855749e-150,1.25620266747712,0.711,0.555,2.33191532956725e-146,0,CIRBP
1.29827171073649e-148,2.13097875495535,0.508,0.368,3.89481513220946e-145,0,SVOP
